,7.1-stable,7.1-staging,7.2-stable,7.2-staging,7.3-stable,7.3-staging,7.4-stable,7.4-staging,8.0-stable,8.0-staging,8.1-stable,8.1-staging,8.2-stable,8.2-staging,8.3-stable,8.3-staging,8.3-stable,8.3-staging,8.4-stable,8.4-staging,master-stable,master-staging,master-stable,master-staging
ICU,57.1,57.1,64.2,64.2,64.2,64.2,66.1,66.1,68.2,68.2,70.1,70.1,71.1,71.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1
apache,2.4.28,2.4.28,2.4.28,2.4.28,2.4.28,2.4.28,2.4.39,2.4.39,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43,2.4.43
c-client,2007f,2007f,2007f,2007f,2007f,2007f,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,2007f-1,,,,,,
dirent,20080629,20080629,,,,,,,,,,,,,,,,,,,,,,
fbclient,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0.6,3.0.6,3.0.6,3.0.6,3.0.6,3.0.6,3.0.6,3.0.6,3.0.6,3.0.6,4.0.4,4.0.4,4.0.4,4.0.4,4.0.4,4.0.4
freetype,2.9.1,2.9.1,2.9.1-1,2.9.1-1,2.9.1-1,2.9.1-1,2.9.1-1,2.9.1-1,2.9.1-1,2.9.1-1,2.9.1-1,2.9.1-1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1,2.11.1
glib,2.49.4,2.49.4,2.53.3,2.53.3,2.53.3,2.53.3,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1,2.53.3-1
libargon2,,,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702,20190702
libavif,,,,,,,,,,,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1,0.9.0-1
libbzip2,1.0.6-2,1.0.6-2,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8,1.0.8
libcurl,7.64.0-4,7.64.0-4,7.67.0-3,7.67.0-3,7.70.0-4,7.70.0-4,7.70.0-6,7.70.0-6,7.76.1-3,7.76.1-3,8.4.0-1,8.4.0-1,8.7.1,8.7.1,8.7.1,8.7.1,8.7.1,8.7.1,8.9.1,8.9.1,8.9.1,8.9.1,8.9.1,8.9.1
libenchant,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.0,1.6.1,1.6.1,,,,,,,,,,,,,,,,
libenchant2,,,,,,,,,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8,2.2.8
libffi,3.2.1,3.2.1,3.2.1-1,3.2.1-1,3.2.1-1,3.2.1-1,3.2.1-4,3.2.1-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4,3.3-4
libiconv,1.15,1.15,1.15-3,1.15-3,1.15-3,1.15-3,1.16-1,1.16-1,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
libintl,0.18.3,0.18.3,0.18.3-3,0.18.3-3,0.18.3-3,0.18.3-3,0.18.3-3,0.18.3-3,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8,0.18.3-8
libjpeg,9c,9c,9c,9c,9c,9c,9c,9c,9c,9c,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0,turbo-2.1.0
liblmdb,,,0.9.22-1,0.9.22-1,0.9.22-1,0.9.22-1,0.9.22-1,0.9.22-1,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6,0.9.22-6
liblzma,,,,,,,,,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5,5.2.5
libmcrypt,2.5.8,2.5.8,,,,,,,,,,,,,,,,,,,,,,
libonig,,,,,,,6.9.5-1,6.9.5-1,6.9.7.1,6.9.7.1,6.9.7.1,6.9.7.1,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8,6.9.8
libpng,1.6.34,1.6.34,1.6.34-2,1.6.34-2,1.6.34-2,1.6.34-2,1.6.34-3,1.6.34-3,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8,1.6.34-8
libpq,9.6.12,9.6.12,9.6.12,9.6.12,9.6.12,9.6.12,11.4,11.4,11.4,11.4,11.4,11.4,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1,11.4-1
libqdbm,,,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78,1.8.78
libsasl,2.1.25,2.1.25,2.1.27-1,2.1.27-1,2.1.27-1,2.1.27-1,2.1.27-1,2.1.27-1,2.1.27-2,2.1.27-2,2.1.27-2,2.1.27-2,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3,2.1.27-3
libsodium,,,1.0.17,1.0.17,1.0.17,1.0.17,1.0.17,1.0.17,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18,1.0.18
libssh2,1.8.2,1.8.2,1.8.2,1.8.2,1.9.0,1.9.0,1.9.0-1,1.9.0-1,1.9.0-1,1.9.0-1,1.10.0-1,1.10.0-1,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2,1.10.0-2
libtidy,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2,5.6.0-2
libwebp,1.0.0,1.0.0,1.0.0,1.0.0,1.1.0,1.1.0,1.1.0,1.1.0,1.1.0,1.1.0,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2,1.3.2
libxml2,2.9.9,2.9.9,2.9.10,2.9.10,2.9.10-1,2.9.10-1,2.9.10-2,2.9.10-2,2.9.10-2,2.9.10-2,2.9.14,2.9.14,2.10.4,2.10.4,2.10.4,2.10.4,2.10.4,2.10.4,2.11.9,2.11.9,2.11.9,2.11.9,2.11.9,2.11.9
libxpm,3.5.12,3.5.12,3.5.12-3,3.5.12-3,3.5.12-3,3.5.12-3,3.5.12-3,3.5.12-3,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8,3.5.12-8
libxslt,1.1.32,1.1.32,1.1.32,1.1.32,1.1.32,1.1.32,1.1.32,1.1.32,1.1.34,1.1.34,1.1.34,1.1.34,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37,1.1.37
libzip,,,1.4.0-1,1.4.0-1,1.5.2,1.5.2,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1,1.7.1-1
mpir,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0,3.0.0
net-snmp,5.7.2,5.7.2,5.7.3,5.7.3,5.7.3,5.7.3,5.7.3,5.7.3,5.7.3-1,5.7.3-1,5.7.3-1,5.7.3-1,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3,5.7.3-3
nghttp2,1.32.0,1.32.0,1.32.0,1.32.0,1.40.0,1.40.0,1.40.0,1.40.0,1.40.0,1.40.0,1.57.0,1.57.0,1.59.0,1.59.0,1.59.0,1.59.0,1.59.0,1.59.0,1.62.1,1.62.1,1.62.1,1.62.1,1.62.1,1.62.1
openldap,2.4.44,2.4.44,2.4.45-1,2.4.45-1,2.4.45-1,2.4.45-1,2.4.47,2.4.47,2.4.47,2.4.47,2.4.47,2.4.47,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1,2.4.47-1
openssl,1.0.2t,1.0.2t,1.1.1g,1.1.1g,1.1.1l,1.1.1l,1.1.1s-74,1.1.1s-74,1.1.1t,1.1.1t,1.1.1w.pl1,1.1.1w.pl1,3.0.13.pl1,3.0.15.pl1,3.0.13.pl1,3.0.15.pl1,3.0.13.pl1,3.0.15.pl1,3.0.15.pl1,3.0.15.pl1,3.0.15.pl1,3.0.15.pl1,3.0.15.pl1,3.0.15.pl1
sqlite3,,,,,,,3.31.1,3.31.1,3.33.0,3.33.0,3.36.0,3.36.0,3.39.2,3.39.2,3.40.0,3.40.0,3.40.0,3.40.0,3.46.0,3.46.0,3.46.0,3.46.0,3.46.0,3.46.0
wineditline,2.205,2.205,2.205,2.205,2.205,2.205,2.205,2.205,2.205-1,2.205-1,2.205-1,2.205-1,2.206,2.206,2.206,2.206,2.206,2.206,2.206,2.206,2.206,2.206,2.206,2.206
zlib,1.2.8,1.2.8,1.2.11,1.2.11,1.2.11,1.2.11,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.2.12,1.3.1,1.3.1,1.3.1,1.3.1,1.3.1,1.3.1
